ts_code,name,score_raw,score_norm,industry,concept,strategy,strategy_short,题材分,技术分,基本面,流通市值(亿),换手率(%),超涨扣分,缺口,涨停次数,连阳,量能,位置,题材,人气,追随,安全,标签,advice,池,PE_TTM,ROE(%),ROE>5%,营收增速(%),3日量比,60日换手均值(%),带宽比(收敛),均线,技术结构,技术加减,MACD发散比,异动日,WR14,同花顺概念1,档位,说明,涨跌幅(%),换手(%),主力净流入(万),主概念
002436.SZ,兴森科技,5.39,53.9,元器件,共封装光学(CPO)(886033.TI) | 存储芯片(886042.TI),擒龙猎手,擒龙,10.0,5.75,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002008.SZ,大族激光,5.21,52.1,专用机械,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,4.25,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002119.SZ,康强电子,4.76,47.6,半导体,半导体(881121.TI) | 存储芯片(886042.TI),擒龙猎手,擒龙,10.0,4.85,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002409.SZ,雅克科技,4.68,46.8,半导体,半导体(881121.TI) | 存储芯片(886042.TI),擒龙猎手,擒龙,10.0,4.52,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002407.SZ,多氟多,4.67,46.7,化工原料,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,4.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002371.SZ,北方华创,4.65,46.5,半导体,半导体(881121.TI) | 存储芯片(886042.TI),擒龙猎手,擒龙,10.0,4.41,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002213.SZ,大为股份,4.61,46.1,半导体,半导体(881121.TI) | 存储芯片(886042.TI),擒龙猎手,擒龙,10.0,4.25,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001309.SZ,德明利,4.52,45.2,半导体,共封装光学(CPO)(886033.TI) | 半导体(881121.TI) | 存储芯片(886042.TI),擒龙猎手,擒龙,10.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000021.SZ,深科技,4.46,44.6,元器件,共封装光学(CPO)(886033.TI) | 存储芯片(886042.TI),擒龙猎手,擒龙,10.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002413.SZ,雷科防务,4.26,42.6,通信设备,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,2.25,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002049.SZ,紫光国微,4.05,40.5,半导体,共封装光学(CPO)(886033.TI) | 半导体(881121.TI) | 存储芯片(886042.TI),擒龙猎手,擒龙,10.0,1.25,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002183.SZ,怡亚通,4.04,40.4,仓储物流,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,1.25,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002185.SZ,华天科技,4.02,40.2,半导体,共封装光学(CPO)(886033.TI) | 半导体(881121.TI) | 存储芯片(886042.TI),擒龙猎手,擒龙,10.0,1.25,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002236.SZ,大华股份,4.02,40.2,IT设备,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,1.25,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002156.SZ,通富微电,3.8,38.0,半导体,共封装光学(CPO)(886033.TI) | 半导体(881121.TI) | 存储芯片(886042.TI),擒龙猎手,擒龙,10.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001287.SZ,中电港,3.74,37.4,元器件,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,0.75,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001298.SZ,好上好,3.74,37.4,元器件,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,0.75,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000062.SZ,深圳华强,3.74,37.4,元器件,共封装光学(CPO)(886033.TI) | 存储芯片(886042.TI),擒龙猎手,擒龙,10.0,0.75,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000818.SZ,航锦科技,3.74,37.4,化工原料,共封装光学(CPO)(886033.TI) | 存储芯片(886042.TI),擒龙猎手,擒龙,10.0,0.75,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000670.SZ,盈方微,3.74,37.4,元器件,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,0.75,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002077.SZ,大港股份,3.74,37.4,半导体,半导体(881121.TI) | 存储芯片(886042.TI),擒龙猎手,擒龙,10.0,0.75,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000620.SZ,盈新发展,3.74,37.4,全国地产,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,0.75,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002415.SZ,海康威视,3.55,35.5,IT设备,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002430.SZ,杭氧股份,3.55,35.5,化工机械,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002559.SZ,亚威股份,3.55,35.5,机床制造,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002579.SZ,中京电子,3.55,35.5,元器件,共封装光学(CPO)(886033.TI) | 存储芯片(886042.TI),擒龙猎手,擒龙,10.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002654.SZ,万润科技,3.55,35.5,互联网,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002819.SZ,东方中科,3.55,35.5,电器仪表,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002916.SZ,深南电路,3.55,35.5,元器件,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002935.SZ,天奥电子,3.55,35.5,航空,存储芯片(886042.TI),擒龙猎手,擒龙,10.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000630.SZ,铜陵有色,85.0,85.0,铜,"铜, 黄金概念, 锂电池概念, PCB概念, 金属铜",主升行情启动,主升,,,,843.52,7.39,-10.0,是,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600460.SH,士兰微,75.0,75.0,半导体,"半导体产品与设备Ⅱ(A股), 半导体产品与设备Ⅲ(A股), 半导体产品(A股), 半导体, 模拟芯片设计, 芯片概念, 华为概念, 国家大基金持股, 第三代半导体, 储能, MCU芯片, 汽车芯片, 先进封装",主升行情启动,主升,,,,637.01,10.75,-5.0,是,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300105.SZ,龙源技术,75.0,75.0,环境保护,"华为概念, 储能",主升行情启动,主升,,,,35.0,6.3,0.0,是,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603070.SH,万控智造,75.0,75.0,电气设备,"电网设备, 智能电网, 数据中心, 储能",主升行情启动,主升,,,,68.17,4.34,0.0,是,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300066.SZ,三川智慧,70.0,70.0,电器仪表,"稀土永磁, 工业互联网, 华为概念, 储能",主升行情启动,主升,,,,67.67,15.31,-10.0,是,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603407.SH,长裕集团,31.3,78.2,化工原料,,盘后扫描追随,追随,,,,,,,,,,7.3,4.8,9.2,10.0,7.8,6.3,,可做,,,,,,,,,,,,,,,,,,,,,
688143.SH,长盈通,31.0,77.5,通信设备,,盘后扫描追随,追随,,,,,,,,,,8.5,4.8,7.7,10.0,7.8,6.3,,可做,,,,,,,,,,,,,,,,,,,,,
301176.SZ,逸豪新材,30.6,76.5,元器件,,盘后扫描追随,追随,,,,,,,,,,7.8,4.8,8.0,10.0,7.8,6.3,,可做,,,,,,,,,,,,,,,,,,,,,
002491.SZ,通鼎互联,30.1,75.2,通信设备,,盘后扫描追随,追随,,,,,,,,,,5.0,7.4,7.7,10.0,8.0,7.1,追随优先,可做,,,,,,,,,,,,,,,,,,,,,
000510.SZ,新金路,29.4,73.5,化工原料,,盘后扫描追随,追随,,,,,,,,,,5.5,7.4,6.5,10.0,9.0,7.9,追随优先,可做,,,,,,,,,,,,,,,,,,,,,
301312.SZ,智立方,29.1,72.8,专用机械,,盘后扫描追随,追随,,,,,,,,,,7.8,4.8,6.5,10.0,6.8,5.5,,谨慎,,,,,,,,,,,,,,,,,,,,,
002421.SZ,达实智能,29.1,72.8,软件服务,,盘后扫描追随,追随,,,,,,,,,,4.5,9.1,5.5,10.0,9.0,9.4,追随优先,可做,,,,,,,,,,,,,,,,,,,,,
603459.SH,红板科技,29.1,72.8,元器件,,盘后扫描追随,追随,,,,,,,,,,4.5,9.1,5.5,10.0,8.0,7.1,追随优先,可做,,,,,,,,,,,,,,,,,,,,,
688635.SH,nan,29.0,72.5,,,盘后扫描追随,追随,,,,,,,,,,5.0,4.8,9.2,10.0,7.8,5.7,,谨慎,,,,,,,,,,,,,,,,,,,,,
688811.SH,有研复材,27.4,68.5,小金属,,盘后扫描追随,追随,,,,,,,,,,5.0,5.4,7.0,10.0,6.0,3.9,防追高警示,放弃,,,,,,,,,,,,,,,,,,,,,
301666.SZ,大普微-UW,24.8,62.0,IT设备,,盘后扫描追随,追随,,,,,,,,,,4.5,4.8,5.5,10.0,7.8,5.7,,谨慎,,,,,,,,,,,,,,,,,,,,,
688549.SH,中巨芯-U,24.0,60.0,元器件,,盘后扫描追随,追随,,,,,,,,,,3.7,4.8,5.5,10.0,6.8,4.9,,谨慎,,,,,,,,,,,,,,,,,,,,,
001234.SZ,泰慕士,52.3,52.3,服饰,同花顺主板,量化蓄势突破,蓄势,,,,,,,,,,,,,,,,,,A-超卖反弹,63.4884,1.3392,False,,,4.923208333333333,0.794017889729255,死叉,死叉+收敛,24.0,0.2548068126098588,yesterday,76.67638483965013,同花顺主板,,,,,,
603128.SH,华贸物流,48.7,48.7,仓储物流,上海(除浦东),量化蓄势突破,蓄势,,,,,,,,,,,,,,,,,,A-超卖反弹,14.9886,1.4394,False,,,0.8221483333333334,0.8310092969067391,粘合,粘合+收敛,14.0,0.2215162683426949,yesterday,63.63636363636361,上海(除浦东),,,,,,
603444.SH,吉比特,43.5,43.5,互联网,低市盈率,量化蓄势突破,蓄势,,,,,,,,,,,,,,,,,,B-科技成长,11.704,9.1277,True,62.6672,1.202024818606693,2.562166666666667,0.8000683085731136,金叉,金叉+收敛,19.9866,0.3344527338441758,,,低市盈率,,,,,,
002458.SZ,益生股份,40.2,40.2,农业综合,同花顺主板,量化蓄势突破,蓄势,,,,,,,,,,,,,,,,,,B-科技成长,41.9445,2.3395,False,25.8254,1.08912747290372,2.4004183333333335,0.7389725711306341,金叉,金叉+收敛,20.0,0.2804331547723881,,,同花顺主板,,,,,,
601116.SH,三江购物,38.8,38.8,超市连锁,QFII重仓,量化蓄势突破,蓄势,,,,,,,,,,,,,,,,,,A-超卖反弹,35.5351,1.5644,False,,,2.2476700000000003,0.8575015222004615,死叉,死叉+收敛,14.6835,0.9511820262726136,yesterday,74.04255319148938,QFII重仓,,,,,,
301518.SZ,长华化学,32.6,32.6,化工原料,减持计划,量化蓄势突破,蓄势,,,,,,,,,,,,,,,,,,A-超卖反弹,47.9312,0.7402,False,,,3.9928733333333337,0.8719867733530019,粘合,粘合+收敛,10.5088,0.5350850407518748,yesterday,70.54794520547941,减持计划,,,,,,
002033.SZ,丽江股份,32.3,32.3,旅游景点,云南,量化蓄势突破,蓄势,,,,,,,,,,,,,,,,,,B-科技成长,19.394,2.5448,False,23.5566,1.1506159916715677,5.621696666666667,0.6441220807214074,粘合,粘合+收敛,9.6589,0.528423768526756,,,云南,,,,,,
600698.SH,湖南天雁,31.3,31.3,汽车配件,低市盈率,量化蓄势突破,蓄势,,,,,,,,,,,,,,,,,,B-科技成长,,0.0278,False,46.405,1.568987807999724,2.6003783333333335,0.7730787085950969,金叉,金叉+收敛,15.9528,0.6705964896092785,,,低市盈率,,,,,,
300604.SZ,长川科技,90.0,90.0,半导体,半导体设备,存储IPO供应链,存储,,,,1176.68932974,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,3.8669,4.8709,63157.13,半导体设备
300303.SZ,聚飞光电,90.0,90.0,半导体,制造封测,存储IPO供应链,存储,,,,123.69700777,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,3.7904,7.6419,7420.96,先进封装
002156.SZ,通富微电,90.0,90.0,半导体,制造封测,存储IPO供应链,存储,,,,954.93266946,,,,,,,,,,,,,可做,,,,,,,,,,,,,,,,可做,核心环节；涨幅适中可低吸；主力净流入,2.2587,8.2205,21639.22,集成电路封测
