trade_date,ts_code,pe_ttm,pb
20260423,000928.SZ,13.0533,1.1598
20260424,000928.SZ,12.8431,1.1411
20260427,000928.SZ,12.4417,1.1055
20260428,000928.SZ,20.7544,1.0914
20260429,000928.SZ,20.7227,1.0897
20260430,000928.SZ,20.596,1.0831
20260506,000928.SZ,20.9762,1.1031
20260507,000928.SZ,21.8634,1.1497
20260508,000928.SZ,21.3248,1.1214
20260511,000928.SZ,21.9012,1.1166
20260512,000928.SZ,21.5083,1.0966
20260513,000928.SZ,21.6393,1.1033
20260514,000928.SZ,21.4429,1.0932
20260515,000928.SZ,21.3119,1.0866
20260518,000928.SZ,21.0828,1.0749
20260519,000928.SZ,21.2464,1.0832
20260520,000928.SZ,21.4756,1.0949
