trade_date,ts_code,pe_ttm,pb,_td
20210506,002091.SZ,10.6703,1.1133,20210506
20210507,002091.SZ,10.7182,1.1183,20210507
20210510,002091.SZ,10.6863,1.115,20210510
20210511,002091.SZ,10.6384,1.11,20210511
20210512,002091.SZ,10.6863,1.115,20210512
20210513,002091.SZ,10.5906,1.105,20210513
20210514,002091.SZ,10.8139,1.1283,20210514
20210517,002091.SZ,10.8617,1.1333,20210517
20210518,002091.SZ,11.0212,1.1499,20210518
20210519,002091.SZ,11.101,1.1582,20210519
20210520,002091.SZ,11.3562,1.1849,20210520
20210521,002091.SZ,11.2764,1.1765,20210521
20210524,002091.SZ,11.2924,1.1782,20210524
20210525,002091.SZ,11.2445,1.1732,20210525
20210526,002091.SZ,11.1967,1.1682,20210526
20210527,002091.SZ,10.9255,1.1894,20210527
20210528,002091.SZ,11.1807,1.2172,20210528
20210531,002091.SZ,12.2972,1.3387,20210531
20210601,002091.SZ,12.6162,1.3735,20210601
20210602,002091.SZ,12.7757,1.3908,20210602
20210603,002091.SZ,13.4775,1.4672,20210603
20210604,002091.SZ,14.8332,1.6148,20210604
20210607,002091.SZ,15.1841,1.653,20210607
20210608,002091.SZ,15.0724,1.6409,20210608
20210609,002091.SZ,14.2431,1.5506,20210609
20210610,002091.SZ,14.0836,1.5332,20210610
20210611,002091.SZ,13.4775,1.4672,20210611
20210615,002091.SZ,13.7486,1.4967,20210615
20210616,002091.SZ,13.0628,1.4221,20210616
20210617,002091.SZ,12.9671,1.4117,20210617
20210618,002091.SZ,13.318,1.4499,20210618
20210621,002091.SZ,13.3818,1.4568,20210621
20210622,002091.SZ,13.1744,1.4342,20210622
20210623,002091.SZ,13.7008,1.4915,20210623
20210624,002091.SZ,13.2063,1.4377,20210624
20210625,002091.SZ,13.1106,1.4273,20210625
20210628,002091.SZ,13.4775,1.4672,20210628
20210629,002091.SZ,13.4934,1.469,20210629
20210630,002091.SZ,14.5142,1.5801,20210630
20210701,002091.SZ,14.1793,1.5436,20210701
20210702,002091.SZ,14.2431,1.5506,20210702
20210705,002091.SZ,14.6896,1.5992,20210705
20210706,002091.SZ,15.6785,1.7068,20210706
20210707,002091.SZ,15.4552,1.6825,20210707
20210708,002091.SZ,16.5239,1.7989,20210708
20210709,002091.SZ,18.1826,1.9794,20210709
20210712,002091.SZ,20.0009,2.1774,20210712
20210713,002091.SZ,21.1812,2.3059,20210713
20210714,002091.SZ,20.8143,2.2659,20210714
20210715,002091.SZ,22.8878,2.4917,20210715
20210716,002091.SZ,22.17,2.4135,20210716
20210719,002091.SZ,21.8829,2.3823,20210719
20210720,002091.SZ,22.808,2.483,20210720
20210721,002091.SZ,24.403,2.6566,20210721
20210722,002091.SZ,24.2435,2.6393,20210722
20210723,002091.SZ,22.3455,2.4326,20210723
20210726,002091.SZ,22.5528,2.4552,20210726
20210727,002091.SZ,20.3039,2.2104,20210727
20210728,002091.SZ,18.9801,2.0663,20210728
20210729,002091.SZ,19.953,2.1722,20210729
20210730,002091.SZ,19.1556,2.0854,20210730
20210802,002091.SZ,19.7457,2.1496,20210802
20210803,002091.SZ,19.012,2.0697,20210803
20210804,002091.SZ,20.0966,2.1878,20210804
20210805,002091.SZ,20.2561,2.2052,20210805
20210806,002091.SZ,22.2817,2.4257,20210806
20210809,002091.SZ,22.4412,2.4431,20210809
20210810,002091.SZ,21.1333,2.3007,20210810
20210811,002091.SZ,21.1333,2.3007,20210811
20210812,002091.SZ,20.9419,2.2798,20210812
20210813,002091.SZ,21.2131,2.3094,20210813
20210816,002091.SZ,19.2991,2.101,20210816
20210817,002091.SZ,18.6611,2.0315,20210817
20210818,002091.SZ,18.7728,2.0437,20210818
