trade_date,ts_code,pe_ttm,pb,_td
20210506,600773.SH,73.8581,2.3203,20210506
20210507,600773.SH,74.0745,2.3271,20210507
20210510,600773.SH,77.8251,2.4449,20210510
20210511,600773.SH,76.6711,2.4086,20210511
20210512,600773.SH,79.4119,2.4947,20210512
20210513,600773.SH,78.1136,2.4539,20210513
20210514,600773.SH,81.3593,2.5559,20210514
20210517,600773.SH,77.8972,2.4472,20210517
20210518,600773.SH,83.1625,2.6126,20210518
20210519,600773.SH,91.4571,2.8731,20210519
20210520,600773.SH,90.9522,2.8573,20210520
20210521,600773.SH,97.7322,3.0703,20210521
20210524,600773.SH,89.7261,2.8188,20210524
20210525,600773.SH,91.5292,2.8754,20210525
20210526,600773.SH,94.9913,2.9842,20210526
20210527,600773.SH,102.7811,3.2289,20210527
20210528,600773.SH,105.9547,3.3286,20210528
20210531,600773.SH,105.4498,3.3127,20210531
20210601,600773.SH,103.4302,3.2493,20210601
20210602,600773.SH,93.116,2.9253,20210602
20210603,600773.SH,91.6014,2.8777,20210603
20210604,600773.SH,94.775,2.9774,20210604
20210607,600773.SH,93.9094,2.9502,20210607
20210608,600773.SH,87.7065,2.7553,20210608
20210609,600773.SH,94.5586,2.9706,20210609
20210610,600773.SH,104.0072,3.2674,20210610
20210611,600773.SH,101.2664,3.1885,20210611
20210615,600773.SH,99.3911,3.1295,20210615
20210616,600773.SH,93.9094,2.9569,20210616
20210617,600773.SH,103.2138,3.2498,20210617
20210618,600773.SH,110.2823,3.4724,20210618
20210621,600773.SH,106.3874,3.3498,20210621
20210622,600773.SH,104.3679,3.2862,20210622
20210623,600773.SH,107.3251,3.3793,20210623
20210624,600773.SH,101.4107,3.1931,20210624
20210625,600773.SH,101.627,3.1999,20210625
20210628,600773.SH,101.8434,3.2067,20210628
20210629,600773.SH,104.6564,3.2953,20210629
20210630,600773.SH,102.2762,3.2203,20210630
20210701,600773.SH,103.0696,3.2453,20210701
20210702,600773.SH,105.0891,3.3089,20210702
20210705,600773.SH,115.6197,3.6405,20210705
20210706,600773.SH,116.341,3.6632,20210706
20210707,600773.SH,123.3373,3.8835,20210707
20210708,600773.SH,132.0647,4.1583,20210708
20210709,600773.SH,135.2383,4.2582,20210709
20210712,600773.SH,137.1136,4.3172,20210712
20210713,600773.SH,136.1759,4.2877,20210713
20210714,600773.SH,127.2321,4.0061,20210714
20210715,600773.SH,125.8617,3.9629,20210715
20210716,600773.SH,130.6942,4.1151,20210716
20210719,600773.SH,131.6319,4.1446,20210719
20210720,600773.SH,130.1172,4.0969,20210720
20210721,600773.SH,143.1001,4.5057,20210721
20210722,600773.SH,149.5194,4.7078,20210722
20210723,600773.SH,153.9192,4.8464,20210723
20210726,600773.SH,169.2822,5.3301,20210726
20210727,600773.SH,152.3324,4.7964,20210727
20210728,600773.SH,147.4999,4.6443,20210728
20210729,600773.SH,157.237,4.9508,20210729
20210730,600773.SH,167.4069,5.2711,20210730
20210802,600773.SH,171.3739,5.396,20210802
20210803,600773.SH,154.2077,4.8555,20210803
20210804,600773.SH,165.3874,5.2075,20210804
20210805,600773.SH,165.6759,5.2166,20210805
20210806,600773.SH,167.0463,5.2597,20210806
20210809,600773.SH,160.5549,5.0553,20210809
20210810,600773.SH,147.2835,4.6374,20210810
20210811,600773.SH,148.5096,4.676,20210811
20210812,600773.SH,150.1686,4.7283,20210812
20210813,600773.SH,165.171,5.2007,20210813
20210816,600773.SH,151.7553,4.7782,20210816
20210817,600773.SH,153.4864,4.8327,20210817
20210818,600773.SH,168.8495,5.3165,20210818
20210819,600773.SH,185.7272,5.8479,20210819
20210820,600773.SH,204.336,6.4338,20210820
20210823,600773.SH,198.5407,6.3309,20210823
20210824,600773.SH,208.3583,6.6439,20210824
20210825,600773.SH,227.3578,7.2497,20210825
20210826,600773.SH,208.9233,6.6619,20210826
20210827,600773.SH,214.0793,6.8263,20210827
20210830,600773.SH,220.9304,7.0448,20210830
20210831,600773.SH,236.469,7.5403,20210831
20210901,600773.SH,243.532,7.7655,20210901
20210902,600773.SH,247.9111,7.9051,20210902
20210903,600773.SH,223.12,7.1146,20210903
20210906,600773.SH,217.7521,6.9434,20210906
20210907,600773.SH,219.5885,7.002,20210907
20210908,600773.SH,226.0158,7.2069,20210908
20210909,600773.SH,220.436,7.029,20210909
20210910,600773.SH,231.7368,7.3894,20210910
20210913,600773.SH,236.7515,7.5493,20210913
20210914,600773.SH,245.0859,7.815,20210914
20210915,600773.SH,259.2119,8.2655,20210915
20210916,600773.SH,233.2907,7.4389,20210916
20210917,600773.SH,225.8745,7.2024,20210917
20210922,600773.SH,216.5514,6.9052,20210922
20210923,600773.SH,212.7374,6.7835,20210923
20210924,600773.SH,206.0982,6.5718,20210924
20210927,600773.SH,189.8533,6.0538,20210927
20210928,600773.SH,188.0875,5.9975,20210928
20210929,600773.SH,174.6678,5.5696,20210929
20210930,600773.SH,187.24,5.9705,20210930
20211008,600773.SH,178.27,5.6845,20211008
20211011,600773.SH,173.0433,5.5178,20211011
20211012,600773.SH,155.8096,4.9683,20211012
20211013,600773.SH,160.6831,5.1237,20211013
20211014,600773.SH,159.9768,5.1012,20211014
20211015,600773.SH,159.0586,5.0719,20211015
