trade_date,ts_code,pe_ttm,pb
20210506,601388.SH,13.7718,2.4485
20210507,601388.SH,14.4514,2.5693
20210510,601388.SH,15.3099,2.722
20210511,601388.SH,14.8449,2.6393
20210512,601388.SH,14.988,2.6647
20210513,601388.SH,14.201,2.5248
20210514,601388.SH,14.058,2.4994
20210517,601388.SH,14.2726,2.5375
20210518,601388.SH,14.2726,2.5375
20210519,601388.SH,13.9864,2.4867
20210520,601388.SH,13.271,2.3595
20210521,601388.SH,13.4499,2.3913
20210524,601388.SH,13.0564,2.3213
20210525,601388.SH,13.1637,2.3404
20210526,601388.SH,13.2352,2.3531
20210527,601388.SH,13.3068,2.3658
20210528,601388.SH,13.2352,2.3531
20210531,601388.SH,13.1637,2.3404
20210601,601388.SH,13.271,2.3595
20210602,601388.SH,12.9133,2.2959
20210603,601388.SH,12.9133,2.2959
20210604,601388.SH,12.806,2.2768
20210607,601388.SH,12.7702,2.2704
20210608,601388.SH,12.8417,2.2831
20210609,601388.SH,13.1995,2.3467
20210610,601388.SH,13.1995,2.3467
20210611,601388.SH,13.0564,2.4214
20210615,601388.SH,12.5556,2.3285
20210616,601388.SH,11.8759,2.2025
20210617,601388.SH,11.9117,2.2091
20210618,601388.SH,11.9117,2.2091
20210621,601388.SH,11.8044,2.1892
20210622,601388.SH,11.9832,2.2224
20210623,601388.SH,12.0906,2.2423
20210624,601388.SH,11.8402,2.1958
20210625,601388.SH,11.9832,2.2224
20210628,601388.SH,11.8759,2.2025
20210629,601388.SH,11.6613,2.1627
20210630,601388.SH,11.4109,2.1162
20210701,601388.SH,11.4467,2.1229
20210702,601388.SH,11.4467,2.1229
20210705,601388.SH,11.9117,2.2091
20210706,601388.SH,11.8759,2.2025
20210707,601388.SH,12.0548,2.2356
20210708,601388.SH,12.6629,2.3484
20210709,601388.SH,12.9848,2.4081
20210712,601388.SH,12.806,2.375
20210713,601388.SH,13.2352,2.4546
20210714,601388.SH,12.9848,2.4081
20210715,601388.SH,13.3068,2.4678
20210716,601388.SH,13.4499,2.4944
20210719,601388.SH,13.271,2.4612
20210720,601388.SH,13.0921,2.428
20210721,601388.SH,13.2352,2.4546
20210722,601388.SH,13.3425,2.4745
20210723,601388.SH,13.8791,2.574
20210726,601388.SH,13.736,2.5474
20210727,601388.SH,12.9491,2.4015
20210728,601388.SH,12.8417,2.3816
20210729,601388.SH,13.1995,2.4479
20210730,601388.SH,13.5214,2.5076
20210802,601388.SH,13.271,2.4612
20210803,601388.SH,12.5198,2.3219
20210804,601388.SH,13.1995,2.4479
20210805,601388.SH,12.7344,2.3617
20210806,601388.SH,13.5572,2.5143
20210809,601388.SH,13.4141,2.4877
20210810,601388.SH,13.2352,2.4546
20210811,601388.SH,13.8791,2.574
20210812,601388.SH,14.7018,2.7266
20210813,601388.SH,14.7734,2.7398
20210816,601388.SH,14.9165,2.7664
20210817,601388.SH,15.2742,2.8327
20210818,601388.SH,11.7184,2.6208
20210819,601388.SH,11.3548,2.5394
20210820,601388.SH,11.2709,2.5207
20210823,601388.SH,11.3548,2.5394
20210824,601388.SH,12.5015,2.7959
20210825,601388.SH,13.76,3.0774
20210826,601388.SH,13.7041,3.0648
20210827,601388.SH,15.0745,3.3713
20210830,601388.SH,16.5847,3.7091
20210831,601388.SH,17.6195,3.9405
20210901,601388.SH,16.5008,3.6903
20210902,601388.SH,18.1509,4.0594
20210903,601388.SH,17.6475,3.9468
20210906,601388.SH,17.7873,3.978
20210907,601388.SH,17.45,3.9029
20210908,601388.SH,18.0652,4.0405
20210909,601388.SH,19.8829,4.447
20210910,601388.SH,19.044,4.2594
20210913,601388.SH,20.4702,4.5784
20210914,601388.SH,18.9042,4.2281
20210915,601388.SH,18.4567,4.1281
20210916,601388.SH,17.8974,4.003
20210917,601388.SH,18.1212,4.053
20210922,601388.SH,18.6245,4.1656
20210923,601388.SH,17.9813,4.0217
20210924,601388.SH,16.5551,3.7027
20210927,601388.SH,15.7442,3.5214
20210928,601388.SH,15.7162,3.5151
20210929,601388.SH,14.9332,3.34
20210930,601388.SH,14.9332,3.34
20211008,601388.SH,14.9332,3.34
20211011,601388.SH,14.6256,3.2712
20211012,601388.SH,13.7866,3.0835
20211013,601388.SH,13.7587,3.0773
20211014,601388.SH,13.9544,3.1211
20211015,601388.SH,14.0383,3.1398
20211018,601388.SH,14.8213,3.315
20211019,601388.SH,14.5976,3.2649
20211020,601388.SH,14.3739,3.2149
20211021,601388.SH,14.4298,3.2274
20211022,601388.SH,13.5909,3.0398
20211025,601388.SH,14.9611,3.3462
20211026,601388.SH,13.5442,3.0255
20211027,601388.SH,13.0464,2.9143
20211028,601388.SH,11.9723,2.6744
20211029,601388.SH,12.2081,2.727
20211101,601388.SH,12.3653,2.7621
20211102,601388.SH,11.7365,2.6217
20211103,601388.SH,11.7627,2.6275
20211104,601388.SH,11.5269,2.5749
20211105,601388.SH,10.872,2.4286
20211108,601388.SH,11.1864,2.4988
20211109,601388.SH,11.2126,2.5046
20211110,601388.SH,11.1078,2.4812
20211111,601388.SH,11.3174,2.5281
20211112,601388.SH,11.265,2.5163
20211115,601388.SH,11.1602,2.4929
20211116,601388.SH,10.8982,2.4344
20211117,601388.SH,11.5531,2.5807
20211118,601388.SH,11.6579,2.6041
20211119,601388.SH,11.8151,2.6392
20211122,601388.SH,11.8151,2.6392
20211123,601388.SH,12.5487,2.8031
20211124,601388.SH,12.5749,2.8089
20211125,601388.SH,12.3915,2.768
20211126,601388.SH,12.5749,2.8089
20211129,601388.SH,12.2343,2.7329
20211130,601388.SH,12.1033,2.7036
20211201,601388.SH,12.2081,2.727
20211202,601388.SH,11.9723,2.6744
20211203,601388.SH,12.0247,2.6861
20211206,601388.SH,12.3915,2.768
20211207,601388.SH,12.0247,2.6861
20211208,601388.SH,12.4963,2.7914
20211209,601388.SH,12.2081,2.727
20211210,601388.SH,12.0509,2.6919
20211213,601388.SH,12.1557,2.7153
20211214,601388.SH,11.7889,2.6334
20211215,601388.SH,11.5269,2.5749
20211216,601388.SH,11.7365,2.6217
20211217,601388.SH,11.9461,2.6685
20211220,601388.SH,11.5793,2.5866
20211221,601388.SH,11.6317,2.5983
20211222,601388.SH,12.1033,2.7036
20211223,601388.SH,12.3653,2.7621
20211224,601388.SH,11.8675,2.6509
20211227,601388.SH,11.6579,2.6041
20211228,601388.SH,11.7365,2.6217
20211229,601388.SH,11.5269,2.5749
20211230,601388.SH,11.7103,2.6158
20211231,601388.SH,11.6579,2.6041
20220104,601388.SH,11.7889,2.6334
20220105,601388.SH,11.5531,2.5807
20220106,601388.SH,11.6841,2.61
20220107,601388.SH,11.8937,2.6568
20220110,601388.SH,12.0247,2.6861
20220111,601388.SH,12.1819,2.7212
20220112,601388.SH,12.2081,2.727
20220113,601388.SH,12.0247,2.6861
20220114,601388.SH,11.6317,2.5983
20220117,601388.SH,11.6579,2.6041
20220118,601388.SH,11.7889,2.6334
20220119,601388.SH,11.6841,2.61
20220120,601388.SH,11.5531,2.5807
20220121,601388.SH,11.1602,2.4929
20220124,601388.SH,11.0554,2.4695
20220125,601388.SH,10.5314,2.3525
20220126,601388.SH,10.8458,2.4227
